MATNR,LGORT_ID,LIEF_ID,LEGAL_ENTITY,EBELN,BEDAT,EINDT,QTY,PREZZO_UN,VALORE_TOT,LEAD_TIME_GG
ART00567,MAG006,SUP076,LE001,PO7111484,20240218,20240225,395,225.69,89147.55,7
ART00783,MAG006,SUP020,LE001,PO8065378,20231129,20240105,347,74.03,25688.41,37
ART00895,MAG012,SUP026,LE002,PO2601690,20220715,20220723,1946,92.49,179985.54,8
ART00326,MAG018,SUP039,LE003,PO2391026,20240602,,1027,7630.13,7836143.51,
ART00251,MAG006,SUP057,LE001,PO1033525,20240710,20240729,1203,575.89,692795.67,19
ART00721,MAG014,SUP055,LE002,PO7379040,20231108,20231215,1610,15.84,25502.4,37
ART00090,MAG003,SUP001,LE001,PO2027747,20220314,20220402,1495,11.66,17431.7,19
ART00865,MAG012,SUP024,LE002,PO8227138,20221024,20221205,1471,29.76,43776.96,42
ART00720,MAG006,SUP036,LE001,PO7351055,20210731,20210825,1679,113.37,190348.23,25
ART00743,MAG010,SUP020,LE002,PO4311480,20210518,20210530,223,594.91,132664.93,12
ART00050,MAG007,SUP029,LE001,PO4676644,20211009,20211013,1089,111.29,121194.81,4
ART00703,MAG018,SUP031,LE003,PO1512165,20220518,20220615,622,9.68,6020.96,28
ART00433,MAG002,SUP065,LE001,PO4087932,20240324,20240512,1249,176.09,219936.41,49
ART00593,MAG010,SUP058,LE002,PO6164710,20220918,,271,7.41,2008.11,
ART00279,MAG009,SUP008,LE002,PO7653569,20210409,20210508,1526,33.43,51014.18,29
ART00191,MAG019,SUP032,LE003,PO5590629,20220416,20220525,497,547.54,272127.38,39
ART00026,MAG010,SUP030,LE002,PO1651865,20211030,20211129,354,477.77,169130.58,30
ART00614,MAG011,SUP079,LE002,PO3410236,20210215,20210310,1328,30.5,40504,23
ART00323,MAG002,SUP062,LE001,PO9272756,20210723,20210804,183,399.92,73185.36,12
ART00597,MAG012,SUP044,LE002,PO9090805,20240313,,1982,143.6,284615.2,
ART00111,MAG002,SUP013,LE001,PO9875430,20210422,20210602,848,142.89,121170.72,41
ART00030,MAG005,SUP037,LE001,PO9433199,20220809,,754,25.81,19460.74,
ART00813,MAG017,SUP007,LE003,PO1129750,20230201,20230210,464,61.55,28559.2,9
ART00656,MAG005,SUP015,LE001,PO5950110,20240720,20240725,704,1774.5,1249248,5
ART00483,MAG013,SUP040,LE002,PO5619582,20210711,20210824,1525,110.29,168192.25,44
ART00580,MAG010,SUP020,LE002,PO6339017,20221025,20221201,109,2.01,219.09,37
ART00028,MAG014,SUP053,LE002,PO5736172,20211202,20220118,394,3.7,1457.8,47
ART00121,MAG009,SUP015,LE002,PO4502998,20220226,,989,73.21,72404.69,
ART00441,MAG019,SUP004,LE003,PO8939675,20241204,20250120,758,2474.69,1875815.02,47
ART00628,MAG002,SUP018,LE001,PO3822523,20230416,20230507,1712,13.89,23779.68,21
ART00732,MAG019,SUP007,LE003,PO6716986,20221223,20221228,318,451.18,143475.24,5
ART00663,MAG005,SUP005,LE001,PO5631343,20241230,20250108,9,662.03,5958.27,9
ART00053,MAG006,SUP027,LE001,PO6813975,20220604,20220716,259,507.89,131543.51,42
ART00143,MAG007,SUP065,LE001,PO4099608,20221116,20221205,1329,84.57,112393.53,19
ART00573,MAG016,SUP018,LE003,PO5570264,20220722,20220827,1733,30.26,52440.58,36
ART00923,MAG012,SUP003,LE002,PO3977336,20240503,20240527,1992,189.29,377065.68,24
ART00243,MAG014,SUP036,LE002,PO3434675,20230703,20230901,1985,7.78,15443.3,60
ART00769,MAG019,SUP050,LE003,PO7901361,20240605,20240706,948,25.86,24515.28,31
ART00216,MAG009,SUP069,LE002,PO6989451,20240127,20240320,1257,6620.49,8321955.93,53
