item_code,warehouse_id,supplier_id,legal_entity,po_number,order_date,receipt_date,quantity,unit_price,total_value,lead_time_days
ART00567,MAG006,SUP076,LE001,PO7111484,18/02/2024,25/02/2024,395,225.69,89147.55,7
ART00783,MAG006,SUP020,LE001,PO8065378,29/11/2023,05/01/2024,347,74.03,25688.41,37
ART00895,MAG012,SUP026,LE002,PO2601690,15/07/2022,23/07/2022,1946,92.49,179985.54,8
ART00326,MAG018,SUP039,LE003,PO2391026,02/06/2024,,1027,7630.13,7836143.51,
ART00251,MAG006,SUP057,LE001,PO1033525,10/07/2024,29/07/2024,1203,575.89,692795.67,19
ART00721,MAG014,SUP055,LE002,PO7379040,08/11/2023,15/12/2023,1610,15.84,25502.4,37
ART00090,MAG003,SUP001,LE001,PO2027747,14/03/2022,02/04/2022,1495,11.66,17431.7,19
ART00865,MAG012,SUP024,LE002,PO8227138,24/10/2022,05/12/2022,1471,29.76,43776.96,42
ART00720,MAG006,SUP036,LE001,PO7351055,31/07/2021,25/08/2021,1679,113.37,190348.23,25
ART00743,MAG010,SUP020,LE002,PO4311480,18/05/2021,30/05/2021,223,594.91,132664.93,12
ART00050,MAG007,SUP029,LE001,PO4676644,09/10/2021,13/10/2021,1089,111.29,121194.81,4
ART00703,MAG018,SUP031,LE003,PO1512165,18/05/2022,15/06/2022,622,9.68,6020.96,28
ART00433,MAG002,SUP065,LE001,PO4087932,24/03/2024,12/05/2024,1249,176.09,219936.41,49
ART00593,MAG010,SUP058,LE002,PO6164710,18/09/2022,,271,7.41,2008.11,
ART00279,MAG009,SUP008,LE002,PO7653569,09/04/2021,08/05/2021,1526,33.43,51014.18,29
ART00191,MAG019,SUP032,LE003,PO5590629,16/04/2022,25/05/2022,497,547.54,272127.38,39
ART00026,MAG010,SUP030,LE002,PO1651865,30/10/2021,29/11/2021,354,477.77,169130.58,30
ART00614,MAG011,SUP079,LE002,PO3410236,15/02/2021,10/03/2021,1328,30.5,40504,23
ART00323,MAG002,SUP062,LE001,PO9272756,23/07/2021,04/08/2021,183,399.92,73185.36,12
ART00597,MAG012,SUP044,LE002,PO9090805,13/03/2024,,1982,143.6,284615.2,
ART00111,MAG002,SUP013,LE001,PO9875430,22/04/2021,02/06/2021,848,142.89,121170.72,41
ART00030,MAG005,SUP037,LE001,PO9433199,09/08/2022,,754,25.81,19460.74,
