item_code,customer_id,legal_entity,so_number,order_date,delivery_date,quantity,unit_price,total_value,margin_pct
ART00340,CLI076,LE001,SO4538341,06/07/2021,,422,13.31,5616.82,26.45
ART00387,CLI061,LE003,SO3196748,24/06/2022,,42,75.97,3190.74,46.98
ART00855,CLI078,LE003,SO1603518,20/06/2021,30/07/2021,170,6596.91,1121474.7,30.2
ART00912,CLI031,LE001,SO8703501,18/10/2024,21/11/2024,70,28.23,1976.1,42.65
ART00838,CLI037,LE003,SO4274349,29/06/2021,02/07/2021,315,11809.63,3720033.45,40.92
ART00373,CLI002,LE003,SO2711650,16/07/2024,03/08/2024,190,315.39,59924.1,44.58
ART00882,CLI018,LE003,SO5612717,23/01/2024,28/02/2024,134,155.37,20819.58,50.85
ART00778,CLI059,LE003,SO7330163,31/03/2021,13/05/2021,58,207.51,12035.58,43
ART00511,CLI043,LE002,SO5709401,06/12/2024,11/01/2025,205,4332.1,888080.5,46.31
ART00494,CLI004,LE001,SO6282447,16/01/2021,20/01/2021,194,224.71,43593.74,35.69
ART00897,CLI023,LE002,SO1624788,02/12/2023,09/01/2024,45,44.47,2001.15,40.32
ART00325,CLI020,LE003,SO2299541,28/12/2021,03/02/2022,13,117.5,1527.5,24.88
ART00598,CLI089,LE003,SO5875931,30/12/2024,31/12/2024,71,20.86,1481.06,25.89
ART00924,CLI020,LE003,SO4175875,27/10/2021,22/11/2021,116,317.27,36803.32,37.6
ART00223,CLI064,LE003,SO4142305,06/06/2022,19/06/2022,483,1366.69,660111.27,48.91
ART00903,CLI085,LE003,SO9154937,03/01/2022,15/01/2022,432,33.5,14472,48.12
ART00837,CLI028,LE002,SO1508483,30/01/2023,10/03/2023,200,258.24,51648,36.9
ART00882,CLI082,LE003,SO7638264,05/04/2022,03/05/2022,106,124.5,13197,38.67
ART00889,CLI090,LE001,SO5303722,03/03/2024,31/03/2024,476,2577.4,1226842.4,42.34
ART00434,CLI068,LE001,SO2843589,26/10/2022,06/11/2022,212,50.26,10655.12,39.63
ART00827,CLI003,LE003,SO1457992,24/08/2023,,467,3.84,1793.28,18.75
ART00361,CLI073,LE003,SO3871480,19/05/2023,25/06/2023,63,42.66,2687.58,46.13
ART00960,CLI061,LE003,SO8438249,25/06/2021,08/08/2021,232,17.96,4166.72,43.6
ART00158,CLI076,LE001,SO7391000,09/01/2024,14/01/2024,357,14.11,5037.27,24.88
ART00374,CLI100,LE001,SO6740759,30/04/2021,29/05/2021,338,73.19,24738.22,23.4
ART00699,CLI078,LE003,SO5711078,08/10/2022,,380,477.5,181450,19.11
ART00404,CLI009,LE003,SO9203497,21/08/2023,29/08/2023,62,653.78,40534.36,51.88
ART00666,CLI024,LE003,SO9580977,29/06/2022,30/06/2022,284,1228.18,348803.12,15.8
ART00105,CLI015,LE001,SO6383063,26/07/2024,05/09/2024,204,32.91,6713.64,37.95
ART00174,CLI081,LE001,SO5149639,16/11/2024,20/12/2024,55,21.01,1155.55,21.75
