ITEM_NO,WH_CODE,SUP_CODE,LE_CODE,PO_REF,PO_DATE,RCPT_DATE,QTY,PRICE,TOT_VAL,LEAD_DAYS
ART00567,MAG006,SUP076,LE001,PO7111484,02/18/2024,02/25/2024,395,225.69,89147.55,7
ART00783,MAG006,SUP020,LE001,PO8065378,11/29/2023,01/05/2024,347,74.03,25688.41,37
ART00895,MAG012,SUP026,LE002,PO2601690,07/15/2022,07/23/2022,1946,92.49,179985.54,8
ART00326,MAG018,SUP039,LE003,PO2391026,06/02/2024,,1027,7630.13,7836143.51,
ART00251,MAG006,SUP057,LE001,PO1033525,07/10/2024,07/29/2024,1203,575.89,692795.67,19
ART00721,MAG014,SUP055,LE002,PO7379040,11/08/2023,12/15/2023,1610,15.84,25502.4,37
ART00090,MAG003,SUP001,LE001,PO2027747,03/14/2022,04/02/2022,1495,11.66,17431.7,19
ART00865,MAG012,SUP024,LE002,PO8227138,10/24/2022,12/05/2022,1471,29.76,43776.96,42
ART00720,MAG006,SUP036,LE001,PO7351055,07/31/2021,08/25/2021,1679,113.37,190348.23,25
ART00743,MAG010,SUP020,LE002,PO4311480,05/18/2021,05/30/2021,223,594.91,132664.93,12
ART00050,MAG007,SUP029,LE001,PO4676644,10/09/2021,10/13/2021,1089,111.29,121194.81,4
ART00703,MAG018,SUP031,LE003,PO1512165,05/18/2022,06/15/2022,622,9.68,6020.96,28
ART00433,MAG002,SUP065,LE001,PO4087932,03/24/2024,05/12/2024,1249,176.09,219936.41,49
ART00593,MAG010,SUP058,LE002,PO6164710,09/18/2022,,271,7.41,2008.11,
ART00279,MAG009,SUP008,LE002,PO7653569,04/09/2021,05/08/2021,1526,33.43,51014.18,29
ART00191,MAG019,SUP032,LE003,PO5590629,04/16/2022,05/25/2022,497,547.54,272127.38,39
ART00026,MAG010,SUP030,LE002,PO1651865,10/30/2021,11/29/2021,354,477.77,169130.58,30
ART00614,MAG011,SUP079,LE002,PO3410236,02/15/2021,03/10/2021,1328,30.5,40504,23
ART00323,MAG002,SUP062,LE001,PO9272756,07/23/2021,08/04/2021,183,399.92,73185.36,12
ART00597,MAG012,SUP044,LE002,PO9090805,03/13/2024,,1982,143.6,284615.2,
ART00111,MAG002,SUP013,LE001,PO9875430,04/22/2021,06/02/2021,848,142.89,121170.72,41
ART00030,MAG005,SUP037,LE001,PO9433199,08/09/2022,,754,25.81,19460.74,
ART00813,MAG017,SUP007,LE003,PO1129750,02/01/2023,02/10/2023,464,61.55,28559.2,9
ART00656,MAG005,SUP015,LE001,PO5950110,07/20/2024,07/25/2024,704,1774.5,1249248,5
ART00483,MAG013,SUP040,LE002,PO5619582,07/11/2021,08/24/2021,1525,110.29,168192.25,44
ART00580,MAG010,SUP020,LE002,PO6339017,10/25/2022,12/01/2022,109,2.01,219.09,37
ART00028,MAG014,SUP053,LE002,PO5736172,12/02/2021,01/18/2022,394,3.7,1457.8,47
ART00121,MAG009,SUP015,LE002,PO4502998,02/26/2022,,989,73.21,72404.69,
ART00441,MAG019,SUP004,LE003,PO8939675,12/04/2024,01/20/2025,758,2474.69,1875815.02,47
ART00628,MAG002,SUP018,LE001,PO3822523,04/16/2023,05/07/2023,1712,13.89,23779.68,21
ART00732,MAG019,SUP007,LE003,PO6716986,12/23/2022,12/28/2022,318,451.18,143475.24,5
ART00663,MAG005,SUP005,LE001,PO5631343,12/30/2024,01/08/2025,9,662.03,5958.27,9
ART00053,MAG006,SUP027,LE001,PO6813975,06/04/2022,07/16/2022,259,507.89,131543.51,42
ART00143,MAG007,SUP065,LE001,PO4099608,11/16/2022,12/05/2022,1329,84.57,112393.53,19
ART00573,MAG016,SUP018,LE003,PO5570264,07/22/2022,08/27/2022,1733,30.26,52440.58,36
ART00923,MAG012,SUP003,LE002,PO3977336,05/03/2024,05/27/2024,1992,189.29,377065.68,24
ART00243,MAG014,SUP036,LE002,PO3434675,07/03/2023,09/01/2023,1985,7.78,15443.3,60
ART00769,MAG019,SUP050,LE003,PO7901361,06/05/2024,07/06/2024,948,25.86,24515.28,31
ART00216,MAG009,SUP069,LE002,PO6989451,01/27/2024,03/20/2024,1257,6620.49,8321955.93,53
ART00116,MAG018,SUP059,LE003,PO3218875,12/28/2023,02/05/2024,618,117.11,72373.98,39
ART00684,MAG005,SUP011,LE001,PO8061413,08/22/2023,10/12/2023,168,185.09,31095.12,51
ART00153,MAG014,SUP079,LE002,PO7530709,10/03/2024,10/16/2024,1721,26.31,45279.51,13
ART00513,MAG012,SUP061,LE002,PO4748132,02/02/2023,03/11/2023,1690,13.27,22426.3,37
ART00766,MAG015,SUP072,LE002,PO9407452,12/05/2024,01/22/2025,1466,212.99,312243.34,48
ART00500,MAG008,SUP013,LE001,PO5437286,12/02/2024,12/09/2024,424,202.79,85982.96,7
ART00607,MAG008,SUP008,LE001,PO2981557,10/27/2023,12/18/2023,1019,160.58,163631.02,52
ART00055,MAG014,SUP068,LE002,PO4147295,07/22/2021,09/15/2021,242,267.1,64638.2,55
ART00308,MAG003,SUP059,LE001,PO2368545,02/03/2021,02/26/2021,668,111.7,74615.6,23
ART00775,MAG014,SUP080,LE002,PO7767368,11/30/2021,,64,29.61,1895.04,
ART00540,MAG016,SUP018,LE003,PO5120432,03/06/2021,04/14/2021,1590,21.41,34041.9,39
ART00629,MAG016,SUP069,LE003,PO9025100,04/29/2023,06/20/2023,1841,7424.67,13668817.47,52
ART00170,MAG018,SUP017,LE003,PO2164513,06/12/2022,07/09/2022,1614,3.27,5277.78,27
ART00934,MAG001,SUP067,LE001,PO8259721,10/26/2024,11/23/2024,1454,79.72,115912.88,29
ART00111,MAG010,SUP039,LE002,PO7930620,08/31/2023,09/21/2023,883,134.96,119169.68,21
ART00564,MAG014,SUP018,LE002,PO9329142,11/27/2022,01/21/2023,1624,15.93,25870.32,55
ART00615,MAG012,SUP003,LE002,PO5619980,04/28/2021,05/14/2021,1841,101.44,186751.04,16
ART00775,MAG011,SUP071,LE002,PO7228914,11/03/2023,11/15/2023,569,24.47,13923.43,12
ART00610,MAG003,SUP051,LE001,PO1818807,05/14/2024,07/09/2024,451,85.58,38596.58,56
ART00991,MAG002,SUP026,LE001,PO5251220,06/26/2023,07/18/2023,489,229.29,112122.81,22
ART00874,MAG006,SUP047,LE001,PO8909731,12/22/2021,01/07/2022,7,508.23,3557.61,16
ART00567,MAG001,SUP002,LE001,PO2762039,10/26/2022,,599,234.44,140429.56,
ART00230,MAG009,SUP044,LE002,PO9984221,10/18/2024,12/10/2024,1514,266.42,403359.88,53
ART00528,MAG015,SUP079,LE002,PO4924596,02/27/2024,04/25/2024,1807,16.87,30484.09,58
ART00738,MAG011,SUP044,LE002,PO8209097,05/29/2021,07/16/2021,998,147.59,147294.82,48
ART00674,MAG017,SUP058,LE003,PO8947225,02/15/2022,03/04/2022,749,58.74,43996.26,17
ART00547,MAG009,SUP046,LE002,PO3850273,05/05/2024,06/11/2024,640,252.48,161587.2,37
ART00205,MAG012,SUP027,LE002,PO4683770,06/20/2024,08/01/2024,1274,7.6,9682.4,42
ART00354,MAG002,SUP033,LE001,PO5406852,06/11/2021,07/06/2021,1190,260.88,310447.2,25
ART00217,MAG012,SUP023,LE002,PO2664655,10/12/2022,11/26/2022,122,294.78,35963.16,45
ART00545,MAG013,SUP050,LE002,PO3558696,12/16/2024,02/10/2025,1528,35.89,54839.92,56
ART00232,MAG009,SUP079,LE002,PO5886737,02/22/2022,03/10/2022,1841,3.45,6351.45,16
ART00266,MAG010,SUP061,LE002,PO9880599,01/15/2024,02/10/2024,1789,518.48,927560.72,26
ART00732,MAG002,SUP036,LE001,PO5940079,11/04/2023,01/02/2024,732,488.39,357501.48,59
ART00453,MAG007,SUP016,LE001,PO3526186,02/15/2023,04/05/2023,957,4872.55,4663030.35,48
ART00744,MAG017,SUP038,LE003,PO5299757,02/09/2024,02/12/2024,1817,198.57,360801.69,3
ART00704,MAG007,SUP030,LE001,PO9334664,11/11/2021,12/15/2021,336,19.29,6481.44,34
ART00383,MAG001,SUP017,LE001,PO6860833,01/18/2021,,1664,112.47,187150.08,
ART00209,MAG004,SUP008,LE001,PO2063545,01/11/2021,02/19/2021,812,666.48,541181.76,39
ART00010,MAG003,SUP004,LE001,PO4044619,10/01/2022,11/20/2022,67,259.22,17367.74,50
ART00923,MAG007,SUP017,LE001,PO8700482,02/08/2024,,301,193.82,58339.82,
ART00505,MAG007,SUP006,LE001,PO7054353,09/06/2022,10/18/2022,335,632.57,211910.95,42
ART00273,MAG006,SUP003,LE001,PO9057317,01/05/2021,02/02/2021,280,134.39,37629.2,28
ART00367,MAG008,SUP062,LE001,PO8108410,05/30/2021,07/19/2021,333,444.18,147911.94,50
ART00595,MAG013,SUP005,LE002,PO2099493,07/27/2021,,841,363.58,305770.78,
ART00245,MAG018,SUP040,LE003,PO6729189,09/18/2022,11/05/2022,879,432.3,379991.7,49
ART00066,MAG020,SUP001,LE003,PO4713933,04/12/2023,04/24/2023,139,48.83,6787.37,12
ART00661,MAG008,SUP076,LE001,PO2415776,02/27/2021,03/31/2021,719,33.62,24172.78,32
ART00884,MAG017,SUP012,LE003,PO3868529,12/17/2022,01/18/2023,655,401.81,263185.55,32
ART00525,MAG016,SUP060,LE003,PO8278526,03/10/2023,,1686,30.36,51186.96,
ART00606,MAG005,SUP042,LE001,PO2366349,10/26/2022,12/12/2022,1188,18.86,22405.68,47
ART00612,MAG019,SUP064,LE003,PO6463689,10/17/2024,11/29/2024,249,189.63,47217.87,43
ART00780,MAG018,SUP038,LE003,PO3647705,06/27/2022,,1967,74.51,146561.17,
ART00664,MAG008,SUP080,LE001,PO2446192,11/06/2021,11/12/2021,38,22.12,840.56,6
ART00258,MAG008,SUP048,LE001,PO8343188,08/17/2021,10/16/2021,802,28.81,23105.62,60
ART00853,MAG019,SUP043,LE003,PO4518716,02/08/2022,,582,20.97,12204.54,
ART00235,MAG014,SUP001,LE002,PO7530812,08/28/2022,10/18/2022,657,27.68,18185.76,51
ART00455,MAG018,SUP065,LE003,PO9055181,01/09/2021,01/16/2021,1861,325.34,605457.74,7
ART00577,MAG013,SUP048,LE002,PO4900380,02/17/2024,03/15/2024,1596,35.45,56578.2,27
ART00096,MAG016,SUP057,LE003,PO2376778,05/16/2024,05/31/2024,845,27.21,22992.45,15
ART00486,MAG007,SUP052,LE001,PO3278204,05/13/2024,05/23/2024,470,612.04,287658.8,10
ART00552,MAG019,SUP066,LE003,PO1298661,10/07/2021,10/15/2021,661,51.22,33856.42,8
ART00182,MAG001,SUP071,LE001,PO1215302,11/21/2023,12/12/2023,242,155.05,37522.1,21
ART00185,MAG008,SUP065,LE001,PO3685424,02/18/2024,04/18/2024,1589,235.51,374225.39,60
ART00995,MAG002,SUP003,LE001,PO2592192,03/17/2024,04/23/2024,1406,119.61,168171.66,37
ART00823,MAG015,SUP071,LE002,PO1593499,03/22/2023,05/04/2023,1495,21.9,32740.5,43
ART00166,MAG002,SUP021,LE001,PO8443421,07/20/2021,09/13/2021,374,43,16082,55
ART00809,MAG020,SUP025,LE003,PO4828589,03/05/2024,04/16/2024,1871,131.91,246803.61,42
ART00966,MAG007,SUP014,LE001,PO7454934,01/18/2023,02/09/2023,203,51.79,10513.37,22
ART00704,MAG020,SUP030,LE003,PO6996267,04/09/2023,05/16/2023,157,18.68,2932.76,37
ART00338,MAG015,SUP019,LE002,PO1837431,01/09/2022,,1657,36.28,60115.96,
ART00415,MAG005,SUP074,LE001,PO8373863,10/27/2023,11/20/2023,1462,184.15,269227.3,24
ART00889,MAG017,SUP065,LE003,PO8528821,11/03/2021,11/14/2021,932,1661.01,1548061.32,11
