ITEM_NO,CLI_CODE,LE_CODE,SO_REF,SO_DATE,DLVRY_DATE,QTY,PRICE,TOT_VAL,MARGIN_PCT
ART00340,CLI076,LE001,SO4538341,07/06/2021,,422,13.31,5616.82,26.45
ART00387,CLI061,LE003,SO3196748,06/24/2022,,42,75.97,3190.74,46.98
ART00855,CLI078,LE003,SO1603518,06/20/2021,07/30/2021,170,6596.91,1121474.7,30.2
ART00912,CLI031,LE001,SO8703501,10/18/2024,11/21/2024,70,28.23,1976.1,42.65
ART00838,CLI037,LE003,SO4274349,06/29/2021,07/02/2021,315,11809.63,3720033.45,40.92
ART00373,CLI002,LE003,SO2711650,07/16/2024,08/03/2024,190,315.39,59924.1,44.58
ART00882,CLI018,LE003,SO5612717,01/23/2024,02/28/2024,134,155.37,20819.58,50.85
ART00778,CLI059,LE003,SO7330163,03/31/2021,05/13/2021,58,207.51,12035.58,43
ART00511,CLI043,LE002,SO5709401,12/06/2024,01/11/2025,205,4332.1,888080.5,46.31
ART00494,CLI004,LE001,SO6282447,01/16/2021,01/20/2021,194,224.71,43593.74,35.69
ART00897,CLI023,LE002,SO1624788,12/02/2023,01/09/2024,45,44.47,2001.15,40.32
ART00325,CLI020,LE003,SO2299541,12/28/2021,02/03/2022,13,117.5,1527.5,24.88
ART00598,CLI089,LE003,SO5875931,12/30/2024,12/31/2024,71,20.86,1481.06,25.89
ART00924,CLI020,LE003,SO4175875,10/27/2021,11/22/2021,116,317.27,36803.32,37.6
ART00223,CLI064,LE003,SO4142305,06/06/2022,06/19/2022,483,1366.69,660111.27,48.91
ART00903,CLI085,LE003,SO9154937,01/03/2022,01/15/2022,432,33.5,14472,48.12
ART00837,CLI028,LE002,SO1508483,01/30/2023,03/10/2023,200,258.24,51648,36.9
ART00882,CLI082,LE003,SO7638264,04/05/2022,05/03/2022,106,124.5,13197,38.67
ART00889,CLI090,LE001,SO5303722,03/03/2024,03/31/2024,476,2577.4,1226842.4,42.34
ART00434,CLI068,LE001,SO2843589,10/26/2022,11/06/2022,212,50.26,10655.12,39.63
ART00827,CLI003,LE003,SO1457992,08/24/2023,,467,3.84,1793.28,18.75
ART00361,CLI073,LE003,SO3871480,05/19/2023,06/25/2023,63,42.66,2687.58,46.13
ART00960,CLI061,LE003,SO8438249,06/25/2021,08/08/2021,232,17.96,4166.72,43.6
ART00158,CLI076,LE001,SO7391000,01/09/2024,01/14/2024,357,14.11,5037.27,24.88
ART00374,CLI100,LE001,SO6740759,04/30/2021,05/29/2021,338,73.19,24738.22,23.4
ART00699,CLI078,LE003,SO5711078,10/08/2022,,380,477.5,181450,19.11
ART00404,CLI009,LE003,SO9203497,08/21/2023,08/29/2023,62,653.78,40534.36,51.88
ART00666,CLI024,LE003,SO9580977,06/29/2022,06/30/2022,284,1228.18,348803.12,15.8
ART00105,CLI015,LE001,SO6383063,07/26/2024,09/05/2024,204,32.91,6713.64,37.95
